duty,content_category,is_savage,is_ultimate,is_unreal,is_extreme,is_high_end,is_alliance_raid,is_chaotic_alliance
Aglaia,alliance,0,0,0,0,0,1,0
Dun Scaith,alliance,0,0,0,0,0,1,0
Euphrosyne,alliance,0,0,0,0,0,1,0
Jeuno: The First Walk,alliance,0,0,0,0,0,1,0
San d'Oria: The Second Walk,alliance,0,0,0,0,0,1,0
Syrcus Tower,alliance,0,0,0,0,0,1,0
Thaleia,alliance,0,0,0,0,0,1,0
The Copied Factory,alliance,0,0,0,0,0,1,0
The Labyrinth of the Ancients,alliance,0,0,0,0,0,1,0
The Orbonne Monastery,alliance,0,0,0,0,0,1,0
The Puppets' Bunker,alliance,0,0,0,0,0,1,0
The Ridorana Lighthouse,alliance,0,0,0,0,0,1,0
The Royal City of Rabanastre,alliance,0,0,0,0,0,1,0
The Tower at Paradigm's Breach,alliance,0,0,0,0,0,1,0
The Void Ark,alliance,0,0,0,0,0,1,0
The Weeping City of Mhach,alliance,0,0,0,0,0,1,0
The World of Darkness,alliance,0,0,0,0,0,1,0
Windurst: The Third Walk,alliance,0,0,0,0,0,1,0
The Cloud of Darkness (Chaotic),chaotic,0,0,0,0,0,1,1
Castrum Marinum (Extreme),other,0,0,0,0,0,0,0
Cinder Drift (Extreme),extreme,0,0,0,1,1,0,0
Containment Bay P1T6 (Extreme),extreme,0,0,0,1,1,0,0
Containment Bay S1T7 (Extreme),extreme,0,0,0,1,1,0,0
Containment Bay Z1T9 (Extreme),extreme,0,0,0,1,1,0,0
Emanation (Extreme),extreme,0,0,0,1,1,0,0
Everkeep (Extreme),extreme,0,0,0,1,1,0,0
Hell on Rails (Extreme),extreme,0,0,0,1,1,0,0
Hells' Kier (Extreme),extreme,0,0,0,1,1,0,0
Memoria Misera (Extreme),extreme,0,0,0,1,1,0,0
Mount Ordeals (Extreme),extreme,0,0,0,1,1,0,0
Recollection (Extreme),extreme,0,0,0,1,1,0,0
Storm's Crown (Extreme),extreme,0,0,0,1,1,0,0
The Abyssal Fracture (Extreme),extreme,0,0,0,1,1,0,0
The Akh Afah Amphitheatre (Extreme),extreme,0,0,0,1,1,0,0
